fname,fname_std,nickname_mpc,sex
CLARANCE,CLARENCE,1,1
ELLIS,ELLIS,0,1
MARRY,MARY,1,2
BERTIE,ALBERT,0,1
ADDA,ADDA,0,2
EVELINE,EVELINE,0,2
HULDA,HULDA,0,2
SAMANTHA,SAMANTHA,0,2
HARIET,HARRIET,1,2
LILY,LILLIAN,1,2
P,P,0,2
ARTHER,ARTHUR,1,1
ORA,ORA,0,2
VALENTINE,VALENTINE,0,1
ANDY,ANDREW,1,1
MELINDA,MELINDA,0,2
CLARISSA,CLARISSA,0,2
AMBROSE,AMBROSE,0,1
AMERICA,AMERICA,0,2
GEORG,GEORGE,1,1
EUGENIA,EUGENIA,0,2
CALEB,CALEB,0,1
GEORGIE,GEORGIE,0,2
SETH,SETH,0,1
JUAN,JUAN,0,1
MICHEL,MICHAEL,1,1
KITTY,CATHERINE,1,2
DOLLY,DOLLY,0,2
EARL,EARL,0,1
SMITH,SMITH,0,1
GUSTAVE,GUSTAVE,0,1
OLLIE,OLIVER,0,2
FLOYD,FLOYD,0,1
JOSEPHENE,JOSEPHINE,1,2
DICK,RICHARD,1,1
BOB,ROBERT,1,1
KATTIE,CATHERINE,1,2
OTIS,OTIS,0,1
LIDA,LIDA,0,2
MACK,MACK,0,1
TERESA,THERESA,1,2
ELEANOR,ELEANOR,0,2
GUSTAV,GUSTAV,0,1
CALLIE,CAROLINE,0,2
SIMEON,SIMEON,0,1
ISABELLE,ISABEL,1,2
ERNST,ERNEST,1,1
NED,EDWARD,0,1
PRESTON,PRESTON,0,1
CHARLOTT,CHARLOTTE,1,2
ELISEBETH,ELIZABETH,1,2
SPENCER,SPENCER,0,1
EASTER,EASTER,0,2
MABLE,MABEL,1,2
FRANCES,FRANCIS,1,1
CLARRA,CLARA,1,2
TILLIE,MATILDA,1,2
EMALINE,EMALINE,0,2
LILLA,LILLA,0,2
LEONA,LEONA,0,2
MYRA,MYRA,0,2
RENA,RENA,0,2
EPHRAIM,EPHRAIM,0,1
MARIETTA,MARIETTA,0,2
EMILIE,EMILY,1,2
MILDRED,MILDRED,0,2
MORGAN,MORGAN,0,1
LAVINIA,LAVINIA,0,2
CURTIS,CURTIS,0,1
EVERETT,EVERETT,0,1
IRVIN,IRVIN,0,1
MOLLY,MARY,1,2
PRISCILLA,PRISCILLA,0,2
ALFORD,ALFORD,0,1
MAX,MAX,0,1
RILEY,RILEY,0,1
MARTHY,MARTHA,1,2
RUBEN,REUBEN,1,1
EVALINE,EVALINE,0,2
ISRAEL,ISRAEL,0,1
LESTER,LESTER,0,1
CHRISTIANA,CHRISTIANA,0,2
G,G,0,2
HARVY,HARVEY,1,1
GERTIE,GERTRUDE,1,2
ROSIE,ROSE,1,2
ELLIE,ELLIE,0,2
GEORGIANA,GEORGIANNA,1,2
MANERVA,MANERVA,0,2
MISSOURI,MISSOURI,0,2
ISAIAH,ISAIAH,0,1
MADISON,MADISON,0,1
SUE,SUSAN,1,2
T,T,0,2
ABIGAIL,ABIGAIL,0,2
LEO,LEONARD,1,1
CHARLS,CHARLES,1,1
SUSANNAH,SUSANNA,1,2
JULIE,JULIA,0,2
SUSANA,SUSANNA,1,2
CHRISTENA,CHRISTINA,1,2
WASH,WASHINGTON,1,1
ARCHIBALD,ARCHIBALD,0,1
LENORA,LENORA,0,2
LOTTA,LOTTA,0,2
SYLVIA,SYLVIA,0,2
DEBORAH,DEBORAH,0,2
ELEN,ELLEN,1,2
FREDK,FREDERICK,1,1
LAFAYETTE,LAFAYETTE,0,1
CLIFFORD,CLIFFORD,0,1
BURTON,BURTON,0,1
LUCIUS,LUCIUS,0,1
TAYLOR,TAYLOR,0,1
CASPER,CASPER,0,1
JAY,JAY,0,1
EMILINE,EMILINE,0,2
WADE,WADE,0,1
MARIAN,MARIAN,0,2
OLIVIA,OLIVIA,0,2
MENA,MENA,0,2
BERTIE,BERTRUDE,0,2
SANFORD,SANFORD,0,1
PATSY,PATRICIA,0,2
CATHARINA,CATHARINA,0,2
WINFIELD,WINFIELD,0,1
RAYMOND,RAYMOND,0,1
VIOLET,VIOLET,0,2
GUS,AUGUSTUS,1,1
W,W,0,2
NINA,NINA,0,2
EDDY,EDWARD,0,1
PERMELIA,PERMELIA,0,2
CLAUDE,CLAUDE,0,1
DAVE,DAVID,1,1
MINIE,MARY,1,2
NORAH,NORA,1,2
MYRON,MYRON,0,1
JAKE,JACOB,0,1
LIDIA,LYDIA,1,2
CATHERIN,CATHERINE,1,2
BARBRA,BARBARA,1,2
BARBARY,BARBARY,0,2
LINDA,LINDA,0,2
MAGDALENA,MAGDALENA,0,2
STEVEN,STEVEN,0,1
THEADORE,THEODORE,1,1
EDA,EDA,0,2
ADELBERT,ADELBERT,0,1
JEMIMA,JEMIMA,0,2
CECELIA,CECELIA,0,2
ADLINE,ADELINE,1,2
DELILA,DELILAH,1,2
HARMON,HARMON,0,1
WILBER,WILBER,0,1
MAURICE,MAURICE,0,1
JOHNSON,JOHNSON,0,1
MARGT,MARGARET,1,2
CHRIS,CHRISTOPHER,1,1
LOIS,LOIS,0,2
CLYDE,CLYDE,0,1
WILHELM,WILHELM,0,1
LOUIZA,LOUISA,1,2
JUDY,JUDITH,1,2
ALVA,ALVA,0,1
ADELAIDE,ADELAIDE,0,2
LOVINA,LOVINA,0,2
LORA,LORA,0,2
SANDY,SANDY,0,1
SARRAH,SARAH,1,2
ANTONIO,ANTONIO,0,1
IRVING,IRVING,0,1
ALMEDA,ALMEDA,0,2
LELA,LELA,0,2
I,I,0,2
LELIA,LELIA,0,2
EMERY,EMERY,0,1
ABE,ABRAHAM,1,1
HARRIS,HARRIS,0,1
ERASTUS,ERASTUS,0,1
LESLIE,LESLIE,0,1
ROBBERT,ROBERT,1,1
JOHNNIE,JOHN,1,1
BILL,WILLIAM,1,1
LIZZY,ELIZABETH,1,2
SARA,SARAH,1,2
SOPHRONIA,SOPHRONIA,0,2
LOLA,LOLA,0,2
EFFA,EUPHEMIA,1,2
CLAYTON,CLAYTON,0,1
JUDSON,JUDSON,0,1
V,V,0,2
HENDERSON,HENDERSON,0,1
DAVIS,DAVIS,0,1
ROSINA,ROSINA,0,2
OPHELIA,OPHELIA,0,2
VINA,VINA,0,2
RUSSELL,RUSSELL,0,1
HENERY,HENRY,1,1
ESTELLE,ESTELLE,0,2
ADDISON,ADDISON,0,1
LAURENCE,LAWRENCE,1,1
FREEMAN,FREEMAN,0,1
VINCENT,VINCENT,0,1
BERRY,BARRY,1,1
ELNORA,ELEANORA,1,2
JIMMIE,JAMES,1,1
CLAUD,CLAUDE,1,1
ADOLPHUS,ADOLPHUS,0,1
CATHARIN,CATHERINE,1,2
JOHNIE,JOHN,1,1
VIRGIL,VIRGIL,0,1
ALACE,ALACE,0,2
MAJOR,MAJOR,0,1
GABRIEL,GABRIEL,0,1
JOHANA,JOHANNA,1,2
BIRDIE,ELIZABETH,0,2
PLEASANT,PLEASANT,0,1
EMA,EMMA,1,2
