fname_std,bni_std,N
ALFIERO,0,11
ALFIO,0,163
ALFONCE,0.815274345026291,29
ALFONSA,0.98904406998619,27
ALFONSAS,0,54
ALFONSO,0.647245940614449,5479
ALFONZA,0.996251437456457,189
ALFONZER,1,11
ALFONZIA,1,41
ALFONZIE,0.99489779010134,28
ALFORD,0.686697181058718,859
ALFORNIA,1,16
ALFR,0.670095729170896,41
ALFRED,0.490773515557453,66258
ALFREDDIE,0.99142011704608,17
ALFREDS,0,25
ALGA,0.802463855773775,25
ALGE,0.804948330610183,11
ALGENE,0.793887679383627,23
ALGER,0.415154367254438,257
ALGERD,0,36
ALGERNON,0.874706326279289,118
ALGERT,0.21738563737207,27
ALGIA,0.920351540593323,39
ALGIE,0.870395273506759,413
ALGIER,0.783126872909466,18
ALGIMANTAS,0,27
ALGIN,0.809459370654451,27
ALGIRD,0,47
ALGIRDAS,0,74
ALGIS,0.270263700871902,41
ALGON,0.840060144966669,19
ALGOT,0,56
ALGY,0.632287975414574,26
ALI,0.602146888787293,531
ALICE,0.613726009037289,61
ALICIA,0.933300381325441,47
ALIE,0.575213100006414,19
ALIJA,0,20
ALIO,0.375714730462533,13
ALIPIO,0.110729258354754,59
ALIREZA,0,13
ALIRIO,0.396333493971774,12
ALISTAIR,0.128454768836873,50
ALISTER,0.656558145652251,43
ALLA,0.546210231151937,14
ALLARD,0.407515468471999,92
ALLE,0.800487291111422,28
ALLEE,0.945452827647938,17
ALLEN,0.248364082265215,10651
ALLISON,0.569220278558703,750
ALLISTER,0.534656812515534,51
ALLISTON,0.8376243356065,12
ALLMAN,0,11
ALLMON,0,16
ALLON,0.516890290472757,31
ALLOY,0.419346727980343,11
ALLSTON,0,14
ALLTON,0,12
ALLWIN,0,31
ALLWYN,0.357135209581301,14
ALLY,0.61610586575349,11
ALLYN,0.0993094727722639,399
ALMA,0.528056691458335,246
ALMAN,0.332473425825913,31
ALMANDO,0.590901038785712,12
ALMAS,0,12
ALMERINDO,0,16
ALMO,0.722833360857707,49
ALMON,0.330949854634962,468
ALMOND,0.622427192424583,226
ALMONT,0,16
ALMORE,0.689648043097898,17
ALMOS,0.66911027231156,32
ALMOUS,0.821294750211181,18
ALMUS,0.687304019499674,90
ALNEY,0.419346727980343,11
ALOIS,0.0351910726084089,199
ALOISE,0.304442595128177,35
ALOISIUS,0,21
ALOIZY,0,14
ALOJZ,0,17
ALOJZY,0.20217192110506,59
ALON,0.720614136432004,38
ALONSO,0.768719921618123,13291
ALONZIA,0.966541673753409,15
ALONZIE,0.983970979545006,19
ALONZO,0.884397382717152,6215
ALOUIS,0,16
ALOY,0,13
ALOYSIOUS,0,35
ALOYSIUS,0.138501102916174,2939
ALOYSUIS,0.357135209581301,28
ALPHA,0.689833082896699,378
ALPHAEUS,0.711931832510957,353
ALPHAS,0.590901038785712,12
ALPHE,0,33
ALPHEE,0,46
ALPHIA,0.590901038785712,12
ALPHIE,0.260514625058619,43
ALPHON,0,12
ALPHONSA,0.995943984418713,35
ALPHONSO,0.77404771984964,6925
ALPHONZA,0.995165029094089,59
ALPHY,0,16
ALQUIN,0.396333493971774,12
ALRAY,0.783126872909466,12
ALRED,0.52630748514952,15
ALRIC,0.804948330610183,22
ALRICK,0.890407708541027,17
ALROY,0.643556715548376,45
ALSEE,0.986342495149563,11
ALSEY,0.275417081428787,20
ALSIE,0.560336621481903,20
ALSON,0.302846782084085,141
ALSTON,0.709290381812397,198
ALTA,0.49055771331857,34
ALTAMONT,0.98060281470747,24
ALTEN,0.396333493971774,12
ALTER,0.692008109812981,59
ALTHA,0.878374819882183,32
ALTIE,0.60746869286719,17
ALTINO,0,11
ALTO,0.876971375126158,153
ALTON,0.590560105779439,9365
ALTUS,0.581387242113241,62
ALV,0,11
ALVA,0.198832258808895,3612
ALVAH,0.182964760169351,133
ALVAR,0.098631333021574,67
ALVARD,0.419346727980343,11
ALVAREZ,0.943981641097249,20
ALVARINO,0.340306658160058,15
ALVARO,0.0907033649127843,734
ALVE,0.466778064845793,37
ALVER,0.61610586575349,77
ALVERN,0.552176229329818,48
ALVERNE,0,11
ALVERNON,0.915490380698372,15
ALVERTIS,0.987568651845265,24
ALVERY,0.375714730462533,13
ALVES,0.706514832391203,16
ALVESTER,0.991343489918957,118
ALVEY,0.28077081126768,78
ALVI,0.806992554570626,30
ALVIA,0.412809477780507,124
ALVIE,0.263808704056533,1100
ALVIN,0.587723804587658,36724
ALVINE,0.896548634746419,11
ALVINO,0.569917306750444,129
ALVIO,0,17
ALVIS,0.491363344979446,1229
ALVOID,0.920351540593323,39
ALVON,0.771180562893315,44
ALVORD,0.499031979748241,33
ALVYN,0,15
ALWARD,0,21
ALWOOD,0.188948383736073,32
ALWYN,0.581689354501481,192
ALY,0.783126872909466,12
ALYN,0,40
ALYRE,0,37
ALZIE,0.900274017796152,18
ALZO,0.915490380698372,15
AMABLE,0.385748783944129,25
AMADEO,0.173394615971791,248
AMADEU,0,30
AMADIO,0,20
AMADO,0.26296787439242,616
AMADOR,0.12380591041198,469
AMALIO,0.267263213665238,104
AMANCIO,0.434483794184301,52
AMAND,0,11
AMANDIO,0,19
AMANDO,0.175197342946232,105
AMANDUS,0,37
AMAR,0.60746869286719,17
AMARANTE,0,20
AMARO,0,32
AMASA,0.304442595128177,35
AMATO,0,77
AMAURY,0.167090479899778,37
AMBARTSUM,0,13
AMBER,0.759593249573485,23
AMBERS,0.610100379675059,73
AMBERT,0.419346727980343,11
AMBROCIO,0.133192875593968,48
AMBROGIO,0,16
AMBROSE,0.475291960951586,1983
AMBROSIO,0.284600830013519,249
AMBRUS,0.706514832391203,16
AMBUS,0.962676528310909,32
AMEAL,0.948903494478524,25
AMEDE,0,18
AMEDEE,0.245045675628849,93
AMEDEO,0,286
AMEDIO,0,46
AMEEN,0.769224856242051,19
AMEL,0.367223898229684,121
AMELIO,0,150
AMER,0.332473425825913,31
AMERICA,0.706514832391203,12
AMERICO,0.0553739604748481,1242
AMERICUS,0.786066124954618,86
AMERIGO,0.0661220529764991,206
AMES,0.304442595128177,70
AMI,0.507804174646455,16
AMICO,0,11
AMIE,0.445197252092511,20
AMILCAR,0.340306658160058,60
AMILCARE,0,15
AMIN,0.63917537382555,66
AMIR,0.555208369642022,95
AMLETO,0,21
AMMIE,0.828020734400791,35
AMMON,0.399254909929248,178
AMNON,0.265299629845152,21
AMO,0.24714209125273,23
AMON,0.540828163448477,271
