fname,bni,name_freq
A PETER,0,4
A PHIL,0,1
A PHILIP,0,5
A PHILLIP,0,2
A PRABHAKE,,1
A PRAX,,1
A PRESTON,0,5
A PRICE,0,1
A PRINCE,1,1
A PYOTT,0,1
A QUE,0,1
A QUENTIN,0,1
A R,0,1
A RAE,0,1
A RALPH,0,15
A RAMON,0,1
A RAMSEY,0,1
A RAND,0,1
A RANDAL,0,1
A RANDALL,0,1
A RANDLE,0,1
A RANDOLPH,0,4
A RANKIN,0,1
A RAY,0,13
A RAYMOND,0,16
A REED,0,1
A REES,0,1
A REESE,0,1
A REEVE,0,1
A REGINALD,0,1
A REGIS,0,1
A REID,0,2
A RENARD,0,1
A RENE,0,1
A RENO,0,1
A REX,0,4
A REYNOLDS,0,1
A RICHARD,0,31
A RICHMOND,0,1
A RILEY,0,2
A RIZZIERE,0,1
A ROBERT,0,35
A ROCHWOOD,0,1
A ROCKE,0,1
A RODERICK,0,1
A RODMAN,0,1
A RODNEY,0,2
A ROGER,0,6
A ROLAND,0,5
A ROLLIN,0,1
A RONALD,0,6
A ROSS,0,6
A ROSWELL,0,2
A ROY,0,14
A RUBEN,0,1
A RUDOLPH,0,1
A RUDOMINO,0,1
A RUSS,0,1
A RUSSEL,0,1
A RUSSELL,0,20
A SALVADOR,0,1
A SAM,0,1
A SAMUEL,0,2
A SANFORD,0,1
A SAP,,1
A SCOTT,0,3
A SEARLE,0,1
A SELMER,0,1
A SETHUS,0,1
A SHELBY,0,1
A SHERIDAN,0,1
A SHRADY,0,1
A SID,0,1
A SIDNEY,0,7
A SIGVARD,0,1
A SIMON,0,1
A SIMPSON,0,1
A SMITH,0,3
A SONNY,1,1
A SPENCER,0,4
A STAN,0,1
A STANLEY,0,12
A STANTON,0,1
A STARR,0,1
A STAUFFER,0,1
A STEBER,0,1
A STEPHEN,0,1
A STEVE,0,2
A STEWART,0,2
A STOAKLEY,0,1
A STUART,0,4
A SUMNER,0,2
A SYDNEY,0,2
A SYLVERIU,0,1
A TAI,,1
A TALMADGE,0,1
A TAM,,1
A TANNER,0,1
A TAYLOR,0,3
A TENNEY,0,1
A TERRY,0,1
A THADDEUS,0,1
A THANE,0,1
A THEO,0,1
A THEODORE,0,5
A THOMAS,0,20
A THORMOD,0,1
A TIPP,0,1
A TORAB,0,1
A TRACY,0,1
A TRAVIS,0,1
A TU,,1
A TUCKER,0,1
A UNG,,1
A VAL,0,1
A VAN,,1
A VANCE,0,3
A VAUDE,0,1
A VERNE,0,1
A VERNON,0,7
A VICTOR,0,7
A VINCENT,0,8
A VONLEY,0,1
A W,0,1
A W BOYD,0,1
A W JACK,0,1
A WAITE,0,1
A WALES,0,1
A WALKER,0,1
A WALLACE,0,3
A WALLY,0,1
A WALTER,0,6
A WARD,0,6
A WARNER,0,1
A WARREN,0,8
A WATT,0,1
A WAYNE,0,22
A WELLING,0,1
A WELTON,0,1
A WENDELL,0,5
A WESLEY,0,4
A WESSEL,0,1
A WESTLEY,0,1
A WESTON,0,1
A WHEELER,0,1
A WHITMER,0,1
A WHITNEY,0,2
A WILBERT,0,1
A WILEY,0,2
A WILFRED,0,1
A WILLARD,0.780035465436136,4
A WILLIAM,0.223318289985416,38
A WILLIS,0,1
A WILSON,0,5
A WINSLOW,0,1
A WINSTON,0,1
A WOODROW,0,3
A WOODRUFF,0,1
A WORTH,0,1
A WRAY,0,1
A WRIGHT,0,1
A WYLIE,0,1
A WYTHE,0,1
A6FRED,1,1
AABRAAM,0,1
AAD,0,1
AADAM,0,1
AADNE,0,3
AAGE,0,45
AAGE CLARK,0,1
AAHMES,0,1
AAKE,0,4
AAL,0,1
AALBERT,0,2
AALBERTUS,0,1
AALE,0,4
AALT,0,2
AAMON,0,1
AANEN,0,2
AANGELO,0,1
AANON,0,1
AAPKO,0,1
AARAM,0,1
AARDACHES,0,1
AAREN,0,1
AAREND,0,1
AARIE,0.914078734338459,2
AARNE,0,19
AARNO,0,2
AARO,0.639391919466739,7
AAROL,0,1
AAROM,0,1
AARON,0.735012782250065,2726
AARON B,0,1
AARON DALT,0,1
AARON ERNE,0,1
AARON FLOY,0,1
AARON HENR,1,1
AARON IA,0,1
AARON LE,0,1
AARON MAX,0,1
AARON NELS,0,1
AARONA,0,1
AARONJ,0,1
AARRE,0,1
AARSTEIN,0,1
AART,0,5
AARTO,0,1
AASMUND,0,2
AATE,0,2
AATOS,0,4
AAU,,1
AB,0.603142257505481,8
ABA,0,14
ABACUC,,1
ABAD,0,9
ABADAKI,0,1
ABADE,0,3
ABAFFI,0,1
ABALON,,1
ABANI,,1
ABAS,0,2
ABAY,1,1
ABAZ,0,1
ABB,0.799577543457736,22
ABBA,0,4
ABBAN,0,1
ABBAS,0.431785026604345,22
ABBAS DABI,0,1
ABBAS RAFI,0,1
ABBASGHOLI,0,1
ABBASS,0,1
ABBASSALI,,1
ABBE,0,5
ABBEE,0,1
ABBEFORD,0,1
ABBEN,0,1
ABBEY,0,12
ABBIE,0.780035465436136,36
ABBIE LEE,0,1
ABBIS,1,1
ABBISON,0,1
ABBITT,0,2
ABBO,0,2
ABBODY,,1
ABBON,0,1
ABBOT,0,11
ABBOTT,0,61
ABBOUDI,0,1
ABBUD,0,1
ABBY,0,8
ABDAL,,1
ABDAL KADR,0,1
ABDALA,,1
ABDALLA,0,5
ABDALLAH,0,10
ABDALLH,0,1
ABDEALLY,,1
ABDEL,0,16
ABDEL AZIZ,0,1
ABDELAZIZ,0,3
ABDELBASET,0,1
ABDELGHAFF,0,1
ABDELHAFET,0,1
ABDELHAMID,0,1
ABDELKADER,0,1
ABDELLA,0.914078734338459,2
ABDELNOR,0,1
ABDELQUDOR,,1
ABDELSALAM,0,1
ABDELWADAW,,1
ABDELWAHAB,0,1
ABDEN,0,3
ABDENAGO,0,1
ABDERAUF,0,1
ABDI,0,1
ABDIEL,,1
ABDIL,,1
ABDIL MASI,,1
ABDISHOU,0,1
ABDO,0,11
ABDOL,0,3
ABDOLAH,0,2
